policy,n,xo,env,num_machines,lead_time_p,mttf,a,co,ce,max_batch_size,sorted_degradation,avg_cost,std_cost,avg_FR,std_FR,avg_ES,std_ES
ppo,0,0,Inventory,1,0.2,10,1,2,5,3,False,0.5331450000000336,0.005763048238561524,0.5401348952436117,0.011268428841867444,0.12324090909090919,0.002306122823992521
ppo,0,0,Inventory,1,0.2,10,1,2,5,5,False,0.5311050000000311,0.005059073531783591,0.4954925905668297,0.009831043828945845,0.10031363636363629,0.0034556487472634555
ppo,0,0,Inventory,1,0.2,10,1,2,10,3,False,0.7215949999999942,0.009722999794300129,0.6439092615629074,0.00802209608753026,0.19378636363636378,0.005446169705656488
ppo,0,0,Inventory,1,0.2,10,1,2,10,5,False,0.7244849999999919,0.009135016420345438,0.6708048460328646,0.008851361183297922,0.21870454545454548,0.003920398550324548
ppo,0,0,Inventory,1,0.5,10,1,2,5,3,False,0.45305500000003135,0.005352637200483994,0.6817247687446868,0.007431924730586045,0.10984545454545461,0.0023521750089496693
ppo,0,0,Inventory,1,0.5,10,1,2,5,5,False,0.4551950000000285,0.004861452972106807,0.6362029865886556,0.00794086642034232,0.09261363636363631,0.002649438580791818
ppo,0,0,Inventory,1,0.5,10,1,2,10,3,False,0.5601300000000334,0.005269449686634711,0.8340569258137635,0.003960185697200058,0.21128181818181827,0.00296674404826826
ppo,0,0,Inventory,1,0.5,10,1,2,10,5,False,0.5610900000000336,0.007939389145266292,0.829298913221273,0.006273656245637474,0.20754545454545426,0.0037551067156981932
ppo,0,0,Inventory,2,0.2,10,1,2,5,3,False,0.9425849999999845,0.006498924911092743,0.5053454689604772,0.009662962714483931,0.2494045454545457,0.006756981391173299
ppo,0,0,Inventory,2,0.2,10,1,2,5,5,False,0.943864999999982,0.006420710630453014,0.5315236952313829,0.010184474304070398,0.27663636363636257,0.008440335076189019
ppo,0,0,Inventory,2,0.2,10,1,2,10,3,False,1.3175999999998285,0.013423486879347652,0.7152565475804739,0.009025920987823373,0.5001454545454544,0.008259324807815322
ppo,0,0,Inventory,2,0.2,10,1,2,10,5,False,1.3161949999998361,0.016152499032653204,0.7018864819458545,0.007143535736674389,0.47449545454545444,0.005929560698959508
ppo,0,0,Inventory,2,0.5,10,1,2,5,3,False,0.8485299999999836,0.00807072487450584,0.6930906530262076,0.007109961459191303,0.3339136363636364,0.003620445271916193
ppo,0,0,Inventory,2,0.5,10,1,2,5,5,False,0.8365399999999928,0.008479380873624147,0.6612652046783637,0.006021934757434781,0.27954090909090884,0.003748192401810641
ppo,0,0,Inventory,2,0.5,10,1,2,10,3,False,1.0495899999999385,0.010695414905457895,0.8465954517769554,0.006012877394025783,0.5233500000000006,0.005265710456490174
ppo,0,0,Inventory,2,0.5,10,1,2,10,5,False,1.0579899999999287,0.013143816036439422,0.8534850405753465,0.00632122620046249,0.549499999999999,0.005148336809186856
ppo,0,0,Inventory,5,0.2,10,1,2,5,3,False,2.0167799999998115,0.011386707162296839,0.587576482807368,0.004791413572103796,0.6882772727272743,0.01266942127870068
ppo,0,0,Inventory,5,0.2,10,1,2,5,5,False,2.020469999999815,0.012283061507623134,0.5735078670063861,0.005881439259850951,0.6105409090909097,0.00877422149309664
ppo,0,0,Inventory,5,0.2,10,1,2,10,3,False,2.621849999999524,0.017519574766522387,0.8222620292211413,0.004944741713257834,1.2660045454545448,0.013334096138651098
ppo,0,0,Inventory,5,0.2,10,1,2,10,5,False,2.622699999999554,0.026697321963065332,0.817298817634333,0.005216564711157413,1.21945909090909,0.009258666924732943
ppo,0,0,Inventory,5,0.5,10,1,2,5,3,False,1.7476949999997795,0.008600449116175085,0.7772530692921541,0.004095619861855034,0.7850409090909081,0.007978909441004737
ppo,0,0,Inventory,5,0.5,10,1,2,5,5,False,1.75197999999978,0.005120654255073357,0.765135622614973,0.002627951015465574,0.7218636363636354,0.0020490876825007853
ppo,0,0,Inventory,5,0.5,10,1,2,10,3,False,2.134114999999588,0.01323183755190375,0.8898586328450587,0.0032220959040774014,1.131459090909092,0.006050525897501894
ppo,0,0,Inventory,5,0.5,10,1,2,10,5,False,2.143604999999593,0.01620525300635135,0.8675660120639133,0.0034586775758834723,1.044768181818183,0.008809847279661134
ppo,0,0,Inventory,10,0.2,10,1,2,5,3,False,3.4138299999994843,0.01850651506901491,0.6453873240960263,0.004448968609452666,1.0707636363636361,0.00882166753974522
ppo,0,0,Inventory,10,0.2,10,1,2,5,5,False,3.3857149999994185,0.018483249849522914,0.7294801719281726,0.006004233485847483,1.448254545454546,0.013649072865316627
ppo,0,0,Inventory,10,0.2,10,1,2,10,3,False,4.212949999999081,0.033131261672314005,0.856639428951271,0.003367774791388848,1.9529909090909094,0.01852336920248597
ppo,0,0,Inventory,10,0.2,10,1,2,10,5,False,4.182079999999054,0.0231919188511824,0.8757793326785652,0.003065193855783651,2.1217227272727324,0.021383302843476518
ppo,0,0,Inventory,10,0.5,10,1,2,5,3,False,2.8567249999994844,0.01529330327299832,0.7998385322612827,0.0035262210616811025,1.2567863636363643,0.00947048590652908
ppo,0,0,Inventory,10,0.5,10,1,2,5,5,False,2.9107249999994886,0.014600860419845624,0.7333990607654377,0.003438954148964809,1.0168454545454542,0.0053008731543372255
ppo,0,0,Inventory,10,0.5,10,1,2,10,3,False,3.491424999999226,0.016947643641519006,0.908357165130132,0.0025086301031754816,1.906045454545454,0.013395555572312577
ppo,0,0,Inventory,10,0.5,10,1,2,10,5,False,3.4901749999992275,0.010681485149536481,0.9134090072903523,0.000816860207912443,1.964300000000001,0.01246310588354539
dqn,0,0,Inventory,1,0.2,10,1,2,5,5,False,0.5324550000000308,0.0055058809467690905,0.4921618532663069,0.006673401400530276,0.09886363636363638,0.0018731464667640393
dqn,0,0,Inventory,1,0.2,10,1,2,5,3,False,0.52820000000003,0.005602633309434823,0.48279069319490403,0.010911783755073729,0.09279545454545443,0.0030351419698029965
dqn,0,0,Inventory,1,0.2,10,1,2,10,3,False,0.7302349999999891,0.008489818902657924,0.6812977622124493,0.008994556620160368,0.2342136363636364,0.0033686725197701614
dqn,0,0,Inventory,1,0.2,10,1,2,10,5,False,0.72472499999999,0.007135518551581544,0.6701447445162672,0.007387926367229681,0.2213454545454545,0.0029466467845210985
dqn,0,0,Inventory,1,0.5,10,1,2,5,3,False,0.454450000000031,0.005145434869863265,0.6769349924894013,0.010891202060940963,0.10835909090909086,0.0030347471200488684
dqn,0,0,Inventory,1,0.5,10,1,2,5,5,False,0.4552300000000319,0.003852609505257837,0.6824619346828488,0.010721084855614233,0.11265454545454542,0.0020115575150523517
dqn,0,0,Inventory,1,0.5,10,1,2,10,3,False,0.5644700000000322,0.008766618504300301,0.8353377039949382,0.007018176369435162,0.2168772727272727,0.003438842900725091
dqn,0,0,Inventory,1,0.5,10,1,2,10,5,False,0.562770000000034,0.00788302606870995,0.8406020076061063,0.00709471494344154,0.2204181818181818,0.00360485210205432
dqn,0,0,Inventory,2,0.2,10,1,2,5,3,False,0.956724999999987,0.007268330275929518,0.5990581198144661,0.009352099549958972,0.3515909090909089,0.006018291677108217
dqn,0,0,Inventory,2,0.2,10,1,2,5,5,False,0.933629999999995,0.005767200360659621,0.4885746245034361,0.008210067439888133,0.22022727272727272,0.005126982583666768
dqn,0,0,Inventory,2,0.2,10,1,2,10,3,False,1.3262849999998394,0.011873332514500368,0.7014517277025181,0.007932032887765124,0.5482681818181812,0.006684428989008755
dqn,0,0,Inventory,2,0.2,10,1,2,10,5,False,1.3178449999998338,0.009134397900241838,0.7297633822594571,0.006105109307700772,0.5189000000000004,0.008406063337047845
dqn,0,0,Inventory,2,0.5,10,1,2,5,3,False,0.8173599999999978,0.005971214281867458,0.7353005180519182,0.006609686661148769,0.30538636363636323,0.00407340954106729
dqn,0,0,Inventory,2,0.5,10,1,2,5,5,False,0.8296800000000009,0.006642183375966779,0.6238264444284768,0.005833570169642255,0.22166818181818188,0.002451433212100307
dqn,0,0,Inventory,2,0.5,10,1,2,10,5,False,1.0403049999999503,0.012346547088150639,0.790167045235984,0.0056860961354213875,0.36571818181818144,0.005029368295774775
dqn,0,0,Inventory,2,0.5,10,1,2,10,3,False,1.0223899999999604,0.01012271702656714,0.8520897359563356,0.005868537616748565,0.48557272727272716,0.004994757582284173
dqn,0,0,Inventory,5,0.2,10,1,2,5,3,False,2.0061549999997874,0.007124094679320244,0.6356770049660658,0.004646191981860225,0.688722727272727,0.010708312404178284
dqn,0,0,Inventory,5,0.2,10,1,2,5,5,False,2.3655499999997507,0.011393353325505598,0.731678626158331,0.006899460448133441,1.4743909090909075,0.023957100088035744
dqn,0,0,Inventory,5,0.2,10,1,2,10,3,False,2.627359999999555,0.014777919339341446,0.7902769439306786,0.00564908201060782,1.0840636363636373,0.018500281436323304
dqn,0,0,Inventory,5,0.2,10,1,2,10,5,False,2.7331849999995237,0.016777053525570275,0.866729220805367,0.0038328101294999124,1.5828772727272704,0.011073758162192311
dqn,0,0,Inventory,5,0.5,10,1,2,5,3,False,1.716969999999811,0.011012951466339608,0.725319775707408,0.006315713023701155,0.6498636363636361,0.006919340483550636
dqn,0,0,Inventory,5,0.5,10,1,2,5,5,False,2.684099999999538,0.009572277680887309,0.9292460303021954,0.002686686218579417,2.271068181818181,0.013021870509654568
dqn,0,0,Inventory,5,0.5,10,1,2,10,3,False,2.1381149999995857,0.015173431549915217,0.8944917248188371,0.0032675850428674426,1.134704545454547,0.005455880518433471
dqn,0,0,Inventory,5,0.5,10,1,2,10,5,False,2.8835399999994507,0.016300671765295677,0.9581240896673553,0.002319659569177599,2.3215272727272724,0.012508413697316784
dqn,0,0,Inventory,10,0.2,10,1,2,5,3,False,3.3663599999994047,0.015796515438539948,0.7273121455667064,0.002886281045247384,1.4312000000000022,0.016083578196511916
dqn,0,0,Inventory,10,0.2,10,1,2,5,5,False,4.447779999999305,0.013133206006146704,0.878190517023125,0.004867915394792427,3.39108181818182,0.02893366451296572
dqn,0,0,Inventory,10,0.2,10,1,2,10,3,False,4.207649999999019,0.029285610801197515,0.9012646914282539,0.0027995964682411716,2.368613636363632,0.02535751188683447
dqn,0,0,Inventory,10,0.2,10,1,2,10,5,False,4.978184999999295,0.02091841353927845,0.9107600875858948,0.0018145175903969757,3.5651318181818157,0.020738587920241983
dqn,0,0,Inventory,10,0.5,10,1,2,5,3,False,2.8250199999995007,0.01037947975575182,0.7798254962156997,0.003037826237973499,1.0445318181818197,0.007478980186372476
dqn,0,0,Inventory,10,0.5,10,1,2,5,5,False,6.139624999999013,0.012829287782257111,0.9955926302092959,0.0007638484654564587,5.643799999999997,0.013671805457313953
dqn,0,0,Inventory,10,0.5,10,1,2,10,3,False,3.51622499999921,0.02268900890298983,0.9355047339909591,0.003391321241829273,2.227350000000002,0.01350145462012801
dqn,0,0,Inventory,10,0.5,10,1,2,10,5,False,6.161169999998997,0.023607077328618477,0.9955012290890455,0.00039869097117173504,5.638990909090895,0.02581576333102884
ppo,0,0,Inventory,1,0.2,5,1,2,5,3,False,1.017479999999995,0.008333882648561107,0.467155651390945,0.00891106754273049,0.16725909090909089,0.0040124831041583675
ppo,0,0,Inventory,1,0.2,5,1,2,5,5,False,1.0088949999999555,0.008618916695268163,0.5961716036584672,0.005027060939905055,0.2802636363636366,0.003014757093130091
ppo,0,0,Inventory,1,0.2,5,1,2,10,3,False,1.3817799999998153,0.01577564895653513,0.5946694012147801,0.009162991413956224,0.2782090909090903,0.004425564352114665
ppo,0,0,Inventory,1,0.2,5,1,2,10,5,False,1.3742849999998135,0.012708856164103754,0.5981149809972804,0.006132839154255949,0.27955909090909,0.003231690318401426
ppo,0,0,Inventory,1,0.5,5,1,2,5,3,False,0.8681799999999866,0.009061683066627347,0.7123869122741854,0.006136809287209563,0.2412818181818182,0.0038263332900155154
ppo,0,0,Inventory,1,0.5,5,1,2,5,5,False,0.8618699999999979,0.008190091574580177,0.6688955375330397,0.007246125292587915,0.19826818181818182,0.0032043004419550383
ppo,0,0,Inventory,1,0.5,5,1,2,10,3,False,1.0456499999998607,0.009800076530307596,0.8953290831426189,0.003801484037203378,0.49290454545454576,0.004263503099293805
ppo,0,0,Inventory,1,0.5,5,1,2,10,5,False,1.0484099999998588,0.005210652550301375,0.8939993527688909,0.002602368301000323,0.4923590909090912,0.003807151274436917
ppo,0,0,Inventory,2,0.2,5,1,2,5,3,False,1.7139699999997373,0.014287358048285357,0.4672299971481443,0.009137109851177104,0.36295909090909106,0.005625886523344206
ppo,0,0,Inventory,2,0.2,5,1,2,5,5,False,1.705514999999716,0.009484567728682577,0.544095923913016,0.005995268909823675,0.42255909090909116,0.006176536848268348
ppo,0,0,Inventory,2,0.2,5,1,2,10,3,False,2.4719149999997727,0.016262472905438353,0.6030772690094871,0.004811321148393899,0.46619090909090904,0.006013201729637974
ppo,0,0,Inventory,2,0.2,5,1,2,10,5,False,2.471879999999776,0.012427855808624004,0.633321112795835,0.00474127743622453,0.48015454545454556,0.004752128709612723
ppo,0,0,Inventory,2,0.5,5,1,2,5,3,False,1.435384999999777,0.013003692744750737,0.700494385412176,0.007126946597061455,0.4689636363636362,0.003017086329118825
ppo,0,0,Inventory,2,0.5,5,1,2,5,5,False,1.42814499999979,0.010445440392820696,0.7051297114091435,0.005605359497391992,0.460331818181818,0.00556824860813371
ppo,0,0,Inventory,2,0.5,5,1,2,10,3,False,1.8014899999996306,0.01080672938497123,0.8642058949380024,0.002935120417440178,0.7676499999999996,0.005005040847415871
ppo,0,0,Inventory,2,0.5,5,1,2,10,5,False,1.7958399999996266,0.020880993750290962,0.8456412341142586,0.005434403909496389,0.7499272727272727,0.006382187246517002
ppo,0,0,Inventory,5,0.2,5,1,2,5,3,False,3.4087549999995046,0.01833135906036414,0.6087531479396394,0.004081165139873785,0.8615954545454549,0.011932704728969065
ppo,0,0,Inventory,5,0.2,5,1,2,5,5,False,3.411569999999501,0.020308658252084735,0.6075512382358558,0.004219308331755822,0.8787545454545457,0.01200243088326018
ppo,0,0,Inventory,5,0.2,5,1,2,10,3,False,5.020669999999212,0.03563146923718054,0.6834730552402402,0.004549256160205849,0.8807136363636359,0.012643687380606998
ppo,0,0,Inventory,5,0.2,5,1,2,10,5,False,5.029884999999224,0.03384420962292702,0.6821293498917869,0.003316775657932139,0.9086227272727274,0.011157383687218213
ppo,0,0,Inventory,5,0.5,5,1,2,5,3,False,2.732174999999461,0.009055778541905734,0.777151076550542,0.0032343552693629373,1.1023000000000045,0.01226690434252839
